name,bio,birth_year,death_year,nationality,art_movement,followers_count,exhibitions_count,category,source_url
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Heejo Kim,,,,,,0,0,,https://www.artsy.net/artist/heejo-kim-1
Domenico Ruccia,,,,,,0,0,,https://www.artsy.net/artist/domenico-ruccia
Tania Franco Klein,,,,,chiaroscuro,0,0,,https://www.artsy.net/artist/tania-franco-klein
Bruna Massadas,,,,,,0,0,,https://www.artsy.net/artist/bruna-massadas
Cy Twombly,,,,,,0,0,,https://www.artsy.net/artist/cy-twombly
Helen Frankenthaler,,,,,Abstract Expressionists,0,0,,https://www.artsy.net/artist/helen-frankenthaler
Theodoros Stamos,,,,,biomorphic,0,0,,https://www.artsy.net/artist/theodoros-stamos
Natvar Bhavsar,,,,,,0,0,,https://www.artsy.net/artist/natvar-bhavsar
Roger Raveel,,,,,,0,0,,https://www.artsy.net/artist/roger-raveel
Nelson Leirner,,,,,,0,0,,https://www.artsy.net/artist/nelson-leirner
Richard Hamilton,,,,,Pop art,0,0,,https://www.artsy.net/artist/richard-hamilton
Claes Oldenburg,,,,,Conceptual,0,0,,https://www.artsy.net/artist/claes-oldenburg
Craig Kauffman,,,,,,0,0,,https://www.artsy.net/artist/craig-kauffman
Billy Al Bengston,,,,,,0,0,,https://www.artsy.net/artist/billy-al-bengston
Lita Albuquerque,,,,,Light and Space,0,0,,https://www.artsy.net/artist/lita-albuquerque
Judy Chicago,,1939.0,,,feminist art,0,0,,https://www.artsy.net/artist/judy-chicago
Salvador Dalí,,,,,Surrealism,0,0,,https://www.artsy.net/artist/salvador-dali
Gregory Crewdson,,,,,,0,0,,https://www.artsy.net/artist/gregory-crewdson
Luciano Ventrone,,,,,,0,0,,https://www.artsy.net/artist/luciano-ventrone
Sylvia Plimack Mangold,,,,,watercolor,0,0,,https://www.artsy.net/artist/sylvia-plimack-mangold
Gene Davis,,,,,,0,0,,https://www.artsy.net/artist/gene-davis
Anne Truitt,,1921.0,,,,0,0,,https://www.artsy.net/artist/anne-truitt
Jules Olitski,,,,,,0,0,,https://www.artsy.net/artist/jules-olitski
Jon Rafman,,,,,,0,0,,https://www.artsy.net/artist/jon-rafman
Chiyu Uemae 上前 智祐,,,,,Gutai Group,0,0,,https://www.artsy.net/artist/chiyu-uemae-shang-qian-zhi-you
Tsuyoshi Maekawa,,,,,Gutai,0,0,,https://www.artsy.net/artist/tsuyoshi-maekawa
Jiro Yoshihara,,,,,Japanese,0,0,,https://www.artsy.net/artist/jiro-yoshihara
Atsuko Tanaka,,,,,Gutai Art Group,0,0,,https://www.artsy.net/artist/atsuko-tanaka
Park Seo-Bo,,,,,monochrome,0,0,,https://www.artsy.net/artist/park-seo-bo
Yun Hyong-keun,,,,,Dansaekhwa,0,0,,https://www.artsy.net/artist/yun-hyong-keun
Olga de Amaral,,,,,,0,0,,https://www.artsy.net/artist/olga-de-amaral
Jagannath Panda,,,,,,0,0,,https://www.artsy.net/artist/jagannath-panda
Jorge Eielson,,,,,,0,0,,https://www.artsy.net/artist/jorge-eielson
Raoul Dufy,,,,,,0,0,,https://www.artsy.net/artist/raoul-dufy
Shepard Fairey,,,,,street art,0,0,,https://www.artsy.net/artist/shepard-fairey
Rammellzee,,,,,,0,0,,https://www.artsy.net/artist/rammellzee
Swoon,,,,,,0,0,,https://www.artsy.net/artist/swoon
OSGEMEOS,,,,,graffiti,0,0,,https://www.artsy.net/artist/osgemeos
Banksy,,,,,street art,0,0,,https://www.artsy.net/artist/banksy
Cecily Brown,,,,,,0,0,,https://www.artsy.net/artist/cecily-brown
KAWS,,,,,murals,0,0,,https://www.artsy.net/artist/kaws
Ed Ruscha,,,,,,0,0,,https://www.artsy.net/artist/ed-ruscha
Marlene Dumas,,1953.0,,,watercolor,0,0,,https://www.artsy.net/artist/marlene-dumas
Julie Mehretu,,,,,Futurists,0,0,,https://www.artsy.net/artist/julie-mehretu
Frank Stella,,,,,Abstract Expressionism,0,0,,https://www.artsy.net/artist/frank-stella
Takashi Murakami,,,,,,0,0,,https://www.artsy.net/artist/takashi-murakami
Jenny Holzer,,,,,,0,0,,https://www.artsy.net/artist/jenny-holzer
Jonas Wood,,,,,,0,0,,https://www.artsy.net/artist/jonas-wood
Faith Ringgold,,,,,,0,0,,https://www.artsy.net/artist/faith-ringgold
Lucy Bull,,,,,,0,0,,https://www.artsy.net/artist/lucy-bull
Martin Wong,,,,,,0,0,,https://www.artsy.net/artist/martin-wong
Reggie Burrows Hodges,,,,,Figurative painter,0,0,,https://www.artsy.net/artist/reggie-burrows-hodges
Ana Mendieta,,,,,land art,0,0,,https://www.artsy.net/artist/ana-mendieta
Sarah Blaustein,,,,,,0,0,,https://www.artsy.net/artist/sarah-blaustein
Francesca Mollett,,,,,,0,0,,https://www.artsy.net/artist/francesca-mollett
Jessie Stevenson,,,,,,0,0,,https://www.artsy.net/artist/jessie-stevenson
Soojin Kang,,,,,,0,0,,https://www.artsy.net/artist/soojin-kang
Sam Moyer,,,,,,0,0,,https://www.artsy.net/artist/sam-moyer
